A,B,C,D,board start,board end,lvl,path
0,1,6,2,"ABD***C******** ","ABCD** *********",5,15,11,7,3,2
0,1,6,11,"AB****C****D*** ","A ***B****C****D",5,15,11,10,6,5
0,1,6,14,"AB****C*******D ","A ***B****C****D",5,15,14,10,6,5
0,1,9,11,"AB*******C*D*** ","A ***B****C****D",5,15,11,10,9,5
0,1,9,14,"AB*******C****D ","A ***B****C****D",5,15,14,10,9,5
0,1,10,11,"AB********CD*** ","A ***B****C****D",5,15,11,7,6,5
0,1,10,14,"AB********C***D ","A ***B****C****D",5,15,14,13,9,5
0,4,6,11,"A***B*C****D*** ","A*** B****C****D",5,15,11,10,6,5
0,4,6,14,"A***B*C*******D ","A*** B****C****D",5,15,14,10,6,5
0,4,9,8,"A***B***DC***** ","A***B***C **D***",5,15,14,13,12,8
0,4,9,11,"A***B****C*D*** ","A*** B****C****D",5,15,11,10,9,5
0,4,9,14,"A***B****C****D ","A*** B****C****D",5,15,14,10,9,5
0,4,10,11,"A***B*****CD*** ","A*** B****C****D",5,15,11,7,6,5
0,4,10,14,"A***B*****C***D ","A*** B****C****D",5,15,14,13,9,5
0,5,7,11,"A****B*C***D*** ","A****B****C ***D",5,15,11,7,6,10
0,5,11,10,"A****B****DC*** ","A****B****C*** D",5,15,14,10,11,15
0,5,13,14,"A****B*******CD ","A****B****C*** D",5,15,14,13,9,10
0,5,14,10,"A****B****D***C ","A****B****C ***D",5,15,11,10,14,15
0,6,9,11,"A*****B**C*D*** ","A****B ***C****D",5,15,11,10,9,5
0,6,9,14,"A*****B**C****D ","A****B ***C****D",5,15,14,10,9,5
0,6,10,14,"A*****B***C***D ","A****B ***C****D",5,15,14,13,9,5
0,9,6,11,"A*****C**B*D*** ","A****B*** C****D",5,15,11,10,6,5
0,9,6,14,"A*****C**B****D ","A****B*** C****D",5,15,14,10,6,5
0,9,10,11,"A********BCD*** ","A****B*** C****D",5,15,11,7,6,5
1,2,6,10,"*AB***C***D**** ","* A***B***C***D*",5,15,14,10,6,2
1,2,6,14,"*AB***C*******D ","* A***B***C***D*",5,15,11,10,6,2
1,2,10,14,"*AB*******C***D ","* A***B***C***D*",5,15,11,7,6,2
1,4,5,9,"*A**BC***D***** ","*A** B***C***D**",5,15,14,13,9,5
1,4,5,13,"*A**BC*******D* ","*A** B***C***D**",5,15,14,10,9,5
1,4,9,13,"*A**B****C***D* ","*A** B***C***D**",5,15,14,10,6,5
1,5,13,10,"*A***B****D**C* ","*A***B***C***D *",5,15,14,10,9,13
1,5,13,12,"*A***B******DC* ","*A***B***C** D**",5,15,14,10,9,13
1,5,13,14,"*A***B*******CD ","*A***B***C***D *",5,15,11,10,9,13
1,6,5,9,"*A***CB**D***** ","*A***B **C***D**",5,15,14,13,9,5
1,6,5,13,"*A***CB******D* ","*A***B **C***D**",5,15,14,10,9,5
1,6,10,14,"*A****B***C***D ","* A***B***C***D*",5,15,11,7,3,2
2,6,11,13,"**A***B****C*D* ","**A***B***C **D*",5,15,14,13,9,10
2,10,7,14,"**A****C**B***D ","**A***B***C **D*",5,15,11,7,6,10
2,10,9,14,"**A******CB***D ","**A***B** C***D*",5,15,11,7,6,10
3,2,6,10,"**BA**C***D**** ","**A **B***C***D*",5,15,14,10,6,2
3,2,6,14,"**BA**C*******D ","**A **B***C***D*",5,15,11,10,6,2
3,2,10,14,"**BA******C***D ","**A **B***C***D*",5,15,11,7,6,2
3,6,7,14,"***A**BC******D ","***A** B***C***D",5,15,14,10,11,7
3,7,14,10,"***A***B**D***C ","***A***B***C** D",5,15,14,10,11,15
4,1,5,6,"*B**ACD******** ","* **ABCD********",5,15,11,7,6,5
4,1,5,7,"*B**AC*D******* ","* **ABCD********",5,15,14,10,6,5
4,1,6,7,"*B**A*CD******* ","* **ABCD********",5,15,14,13,9,5
4,5,7,3,"***DAB*C******* ","*** ABCD********",5,15,14,10,6,7
4,5,7,10,"****AB*C**D**** ","****ABCD*** ****",5,15,11,10,6,7
4,5,7,11,"****AB*C***D*** ","****ABCD*** ****",5,15,14,10,6,7
4,8,9,10,"****A***BCD**** ","**** ***ABCD****",5,15,11,10,9,8
4,8,9,11,"****A***BC*D*** ","**** ***ABCD****",5,15,14,10,9,8
4,8,10,11,"****A***B*CD*** ","**** ***ABCD****",5,15,14,13,9,8
4,9,5,6,"****ACD**B***** ","****ABCD* ******",5,15,11,7,6,5
4,9,5,7,"****AC*D*B***** ","****ABCD* ******",5,15,14,10,6,5
4,9,10,11,"****A****BCD*** ","**** ***ABCD****",5,15,14,13,12,8
8,9,14,7,"*******DAB****C ","********ABCD** *",5,15,11,7,6,10
8,10,6,11,"******C*A*BD*** ","****** *ABCD****",5,15,14,13,9,10
8,10,13,11,"********A*BD*C* ","********ABCD** *",5,15,14,13,9,10
12,8,9,10,"********BCD*A** ","********ABCD ***",5,15,11,10,9,8
12,8,9,11,"********BC*DA** ","********ABCD ***",5,15,14,10,9,8
12,8,10,11,"********B*CDA** ","********ABCD ***",5,15,14,13,9,8
12,9,13,11,"*********B*DAC* ","********* **ABCD",5,15,11,10,14,13
12,13,11,10,"**********DCAB* ","*********** ABCD",5,15,11,10,14,15
