A,B,C,D,board start,board end,lvl,path
6,0,1,5,"BC***DA******** ","* **ABCD********",17,15,11,7,3,2,6,5,1,2,3,7,6,5,1,0,4,5
6,0,1,7,"BC****AD******* ","* **ABCD********",17,15,14,10,6,5,1,0,4,8,9,10,6,5,9,8,4,5
6,0,1,10,"BC****A***D**** ","* **ABCD********",17,15,11,7,3,2,1,5,6,10,11,7,6,2,1,0,4,5
6,0,1,14,"BC****A*******D ","* A***B***C***D*",17,15,11,7,3,2,1,0,4,5,6,2,1,5,9,10,6,2
6,0,2,1,"BDC***A******** ","* **ABCD********",17,15,14,13,9,5,6,2,1,0,4,5,6,2,3,7,6,5
6,0,2,12,"B*C***A*****D** ","*A** B***C***D**",17,15,14,13,12,8,4,0,1,5,6,2,1,5,6,10,9,5
6,0,2,14,"B*C***A*******D ","A*** B****C****D",17,15,14,13,9,5,6,2,1,5,9,10,6,5,4,0,1,5
6,0,3,7,"B**C**AD******* ","ABCD ***********",17,15,14,13,9,5,6,2,3,7,11,10,9,8,4,5,1,0
6,0,3,10,"B**C**A***D**** ","****ABCD*** ****",17,15,11,10,9,5,6,7,3,2,1,0,4,5,1,2,6,7
6,0,3,11,"B**C**A****D*** ","****ABCD*** ****",17,15,14,13,9,5,6,7,3,2,1,0,4,5,1,2,6,7
6,0,5,4,"B***DCA******** ","A **B***C***D***",17,15,14,13,12,8,4,5,6,2,1,5,9,13,12,8,4,0
6,0,7,2,"B*D***AC******* ","ABCD ***********",17,15,14,13,9,5,6,7,3,2,6,10,9,8,4,5,1,0
6,0,8,7,"B*****ADC****** ","* **ABCD********",17,15,14,13,9,8,4,5,6,2,1,0,4,5,9,10,6,5
6,0,8,14,"B*****A*C*****D ","A ***B****C****D",17,15,14,13,9,8,4,5,6,10,9,8,4,5,1,0,4,5
6,0,9,5,"B****DA**C***** ","*A** B***C***D**",17,15,14,13,12,8,9,5,6,10,14,13,9,8,4,0,1,5
6,0,10,8,"B*****A*D*C**** ","A **B***C***D***",17,15,14,13,9,10,14,13,12,8,9,5,6,2,1,5,4,0
6,0,11,3,"B**D**A****C*** ","* **ABCD********",17,15,14,13,9,5,6,7,11,10,6,7,3,2,1,0,4,5
6,0,11,9,"B*****A**D*C*** ","**A***B***C **D*",17,15,14,10,9,5,1,0,4,5,1,2,6,5,9,13,14,10
6,0,11,14,"B*****A****C**D ","A*** B****C****D",17,15,14,13,9,5,6,10,11,7,6,2,1,5,4,0,1,5
6,0,12,8,"B*****A*D***C** ","*A** B***C***D**",17,15,14,13,12,8,9,13,12,8,4,0,1,5,6,2,1,5
6,0,13,10,"B*****A***D**C* ","*A***B***C***D *",17,15,14,10,9,8,4,0,1,5,6,2,1,5,4,8,9,13
6,0,13,11,"B*****A****D*C* ","A*** B****C****D",17,15,11,10,9,13,14,10,9,5,6,2,1,5,4,0,1,5
6,0,14,3,"B**D**A*******C ","* **ABCD********",17,15,11,10,14,13,9,5,6,10,11,7,3,2,1,0,4,5
6,1,0,2,"CBD***A******** ","* **ABCD********",17,15,14,13,9,5,6,2,1,0,4,5,1,2,3,7,6,5
6,1,0,8,"CB****A*D****** ","A **B***C***D***",17,15,14,13,12,8,4,0,1,5,6,2,1,5,9,8,4,0
6,1,0,12,"CB****A*****D** ","A **B***C***D***",17,15,14,13,9,8,4,0,1,5,6,2,1,5,9,8,4,0
6,1,4,3,"*B*DC*A******** ","* **ABCD********",17,15,11,7,3,2,6,5,4,0,1,2,6,5,1,0,4,5
6,1,4,11,"*B**C*A****D*** ","A*** B****C****D",17,15,11,10,9,5,4,8,9,5,6,10,9,8,4,5,1,0
6,1,12,7,"*B****AD****C** ","* **ABCD********",17,15,14,13,12,8,9,13,14,10,9,5,6,10,9,8,4,5
6,1,14,2,"*BD***A*******C ","* **ABCD********",17,15,11,10,14,13,9,5,6,2,3,7,6,10,9,8,4,5
6,1,14,3,"*B*D**A*******C ","* **ABCD********",17,15,11,10,14,13,9,5,6,7,3,2,6,10,9,8,4,5
6,2,4,10,"**B*C*A***D**** ","*A***B **C***D**",17,15,14,13,9,10,14,13,9,5,6,2,1,5,4,8,9,5
6,2,4,11,"**B*C*A****D*** ","****** *ABCD****",17,15,14,10,6,2,1,5,4,8,9,10,6,5,4,8,9,10
6,2,4,14,"**B*C*A*******D ","*A***B **C***D**",17,15,11,10,9,13,14,10,9,5,6,2,1,5,4,8,9,5
6,2,7,5,"**B**DAC******* ","***A** B***C***D",17,15,11,7,6,5,9,10,6,2,3,7,11,10,14,15,11,7
6,2,7,9,"**B***AC*D***** ","***A** B***C***D",17,15,14,10,9,13,14,15,11,10,14,15,11,7,6,2,3,7
6,2,8,4,"**B*D*A*C****** ","*A***B **C***D**",17,15,14,13,9,8,4,5,9,8,12,13,9,5,6,2,1,5
6,2,8,11,"**B***A*C**D*** ","A ***B****C****D",17,15,11,10,9,8,4,5,6,2,1,5,6,10,9,8,4,0
6,2,9,4,"**B*D*A**C***** ","*A***B **C***D**",17,15,14,13,12,8,4,5,9,8,12,13,9,5,6,2,1,5
6,2,11,3,"**BD**A****C*** ","*** ABCD********",17,15,14,13,9,5,6,7,11,10,6,2,1,0,4,5,6,7
6,2,12,5,"**B**DA*****C** ","*A***B **C***D**",17,15,14,13,9,5,6,2,1,5,4,8,12,13,9,8,4,5
6,2,12,10,"**B***A***D*C** ","*A***B***C***D *",17,15,14,10,9,13,12,8,9,5,6,2,1,5,6,10,9,13
6,2,12,14,"**B***A*****C*D ","*A***B***C***D *",17,15,11,10,9,13,12,8,9,5,6,2,1,5,6,10,9,13
6,2,13,11,"**B***A****D*C* ","********ABCD** *",17,15,14,13,9,10,6,2,1,5,9,10,6,5,4,8,9,10
6,3,1,9,"*C*B**A**D***** ","*A***B **C***D**",17,15,14,13,9,5,1,2,3,7,11,10,9,5,6,2,1,5
6,3,1,10,"*C*B**A***D**** ","**A **B***C***D*",17,15,14,10,11,7,6,5,1,2,3,7,6,5,9,10,6,2
6,3,2,1,"*DCB**A******** ","*** ABCD********",17,15,11,7,3,2,1,5,6,7,3,2,1,0,4,5,6,7
6,3,2,5,"**CB*DA******** ","**A **B***C***D*",17,15,11,7,6,5,9,10,6,2,3,7,11,15,14,10,6,2
6,3,2,7,"**CB**AD******* ","*** ABCD********",17,15,14,13,9,5,6,2,3,7,6,2,1,0,4,5,6,7
6,3,4,9,"***BC*A**D***** ","*A***B **C***D**",17,15,14,13,9,5,6,2,3,7,6,2,1,5,4,8,9,5
6,3,4,10,"***BC*A***D**** ","**A***B** C***D*",17,15,14,10,11,7,3,2,6,5,4,8,9,5,6,7,11,10
6,3,7,2,"**DB**AC******* ","**A **B***C***D*",17,15,11,7,6,2,3,7,11,10,6,7,11,15,14,10,6,2
6,3,7,9,"***B**AC*D***** ","*A***B **C***D**",17,15,14,13,9,5,6,7,3,2,1,5,6,7,11,10,9,5
6,3,8,11,"***B**A*C**D*** ","**A***B** C***D*",17,15,11,10,9,8,12,13,14,15,11,7,3,2,6,7,11,10
6,3,11,2,"**DB**A****C*** ","**A***B***C **D*",17,15,11,7,6,2,3,7,11,10,6,2,3,7,11,15,14,10
