A,B,C,D,board start,board end,lvl,path
0,5,6,11,"A****BC****D*** ","A****B ***C****D",3,15,11,10
0,5,6,14,"A****BC*******D ","A****B ***C****D",3,15,14,10
0,5,9,11,"A****B***C*D*** ","A****B*** C****D",3,15,11,10
0,5,9,14,"A****B***C****D ","A****B*** C****D",3,15,14,10
0,5,11,14,"A****B*****C**D ","A****B****C ***D",3,15,14,10
0,5,14,11,"A****B*****D**C ","A****B****C*** D",3,15,11,10
1,5,9,12,"*A***B***C**D** ","*A***B***C** D**",3,15,14,13
2,6,9,10,"**A***B**CD**** ","**A***B** C***D*",3,15,14,10
2,6,9,14,"**A***B**C****D ","**A***B** C***D*",3,15,11,10
2,6,11,10,"**A***B***DC*** ","**A***B***C **D*",3,15,14,10
3,6,7,11,"***A**BC***D*** ","***A** B***C***D",3,15,11,7
4,5,6,3,"***DABC******** ","*** ABCD********",3,15,11,7
8,9,6,10,"******C*ABD**** ","****** *ABCD****",3,15,11,10
8,9,6,11,"******C*AB*D*** ","****** *ABCD****",3,15,14,10
8,9,14,10,"********ABD***C ","********ABCD** *",3,15,11,10
12,9,13,14,"*********B**ACD ","********* **ABCD",3,15,14,13
