A,B,C,D,board start,board end,lvl,path
7,12,3,0,"D**C***A****B** ","***A**B**C *D***",30,15,14,13,12,8,4,0,1,2,3,7,6,2,1,5,9,8,4,5,9,13,12,8,4,5,6,10,9,5,6
11,14,0,4,"C***D******A**B ","***A**B* C**D***",30,15,14,10,6,7,11,15,14,10,11,15,14,13,9,8,4,0,1,2,3,7,6,10,9,13,12,8,4,5,9
11,14,2,0,"D*C********A**B ","** *ABCD********",30,15,14,10,11,15,14,13,9,10,11,7,6,5,9,10,6,2,1,0,4,5,1,2,6,5,9,10,11,7,6
11,14,4,0,"D***C******A**B ","***A**B *C**D***",30,15,14,10,9,8,4,0,1,5,9,8,4,5,6,7,11,15,14,13,12,8,4,0,1,2,3,7,11,10,6
11,14,8,0,"D*******C**A**B ","***A**B *C**D***",30,15,14,10,6,5,4,0,1,5,9,8,4,5,6,7,11,15,14,13,12,8,4,0,1,2,3,7,11,10,6
13,3,12,0,"D**B********CA* ","***D**C**B *A***",30,15,11,7,3,2,1,0,4,8,12,13,9,8,4,5,6,2,1,5,6,7,3,2,1,5,6,10,9,5,6
14,11,0,1,"CD*********B**A ","***D**C**B**A **",30,15,11,7,3,2,1,0,4,5,1,0,4,8,9,13,14,15,11,7,3,2,6,5,4,8,12,13,14,10,9
14,11,1,0,"DC*********B**A ","***D**C**B**A **",30,15,11,7,3,2,1,0,4,5,6,2,1,5,9,13,14,15,11,7,3,2,1,0,4,8,12,13,14,10,9
14,11,2,0,"D*C********B**A ","***D**C**B**A **",30,15,11,7,6,5,1,0,4,5,6,2,1,5,9,13,14,15,11,7,3,2,1,0,4,8,12,13,14,10,9
14,11,8,0,"D*******C**B**A ","*A***B** C***D**",30,15,11,10,14,15,11,7,6,10,14,13,9,5,6,10,9,8,4,0,1,5,4,8,9,5,6,10,14,13,9
