A,B,C,D,board start,board end,lvl,path
3,1,2,7,"*BCA***D******* ","**A **B***C***D*",15,15,11,7,6,2,1,5,9,10,11,15,14,10,6,2
3,1,2,9,"*BCA*****D***** ","**A **B***C***D*",15,15,14,10,9,13,14,10,6,2,1,5,9,10,6,2
3,1,2,11,"*BCA*******D*** ","**A **B***C***D*",15,15,14,10,11,15,14,10,6,2,1,5,9,10,6,2
3,1,6,7,"*B*A**CD******* ","***A** B***C***D",15,15,11,7,6,5,1,2,6,5,9,13,14,15,11,7
3,1,7,6,"*B*A**DC******* ","**A **B***C***D*",15,15,14,10,6,7,11,15,14,10,6,2,1,5,6,2
3,1,7,13,"*B*A***C*****D* ","**A **B***C***D*",15,15,14,13,9,10,6,7,11,10,6,2,1,5,6,2
3,1,9,6,"*B*A**D**C***** ","**A***B** C***D*",15,15,14,10,6,2,1,5,6,2,3,7,11,15,14,10
3,1,10,6,"*B*A**D***C**** ","**A***B***C **D*",15,15,11,10,6,5,1,2,3,7,6,5,9,13,14,10
3,1,10,7,"*B*A***D**C**** ","**A **B***C***D*",15,15,11,7,6,10,11,15,14,10,6,2,1,5,6,2
3,1,11,6,"*B*A**D****C*** ","**A***B***C **D*",15,15,14,10,6,5,1,2,3,7,6,5,9,13,14,10
3,1,11,9,"*B*A*****D*C*** ","**A **B***C***D*",15,15,14,10,9,13,14,10,11,7,6,2,1,5,6,2
3,1,13,6,"*B*A**D******C* ","**A***B** C***D*",15,15,14,10,6,5,1,2,3,7,6,5,9,13,14,10
3,1,14,6,"*B*A**D*******C ","**A***B***C **D*",15,15,14,10,6,2,1,5,6,2,3,7,11,15,14,10
3,2,4,10,"**BAC*****D**** ","**A **B***C***D*",15,15,14,10,9,5,4,8,9,10,6,5,9,10,6,2
3,2,4,14,"**BAC*********D ","**A **B***C***D*",15,15,11,10,9,5,4,8,9,10,6,5,9,10,6,2
3,2,6,5,"**BA*DC******** ","**A***B** C***D*",15,15,14,10,6,5,9,10,6,2,3,7,11,15,14,10
3,2,7,5,"**BA*D*C******* ","**A **B***C***D*",15,15,14,13,9,5,6,7,11,10,9,13,14,10,6,2
3,2,8,11,"**BA****C**D*** ","**A **B***C***D*",15,15,11,10,9,8,12,13,14,15,11,10,9,5,6,2
3,2,11,5,"**BA*D*****C*** ","**A **B***C***D*",15,15,14,13,9,5,6,10,9,13,14,10,11,7,6,2
3,2,12,14,"**BA********C*D ","**A **B***C***D*",15,15,14,13,12,8,9,13,14,15,11,10,9,5,6,2
3,2,14,5,"**BA*D********C ","**A***B***C **D*",15,15,14,10,6,5,9,10,6,2,3,7,11,15,14,10
3,2,14,7,"**BA***D******C ","**A **B***C***D*",15,15,14,10,11,7,6,10,11,15,14,10,11,7,6,2
3,4,1,13,"*C*AB********D* ","*A** B***C***D**",15,15,14,10,6,2,3,7,6,5,1,2,6,10,9,5
3,4,2,10,"**CAB*****D**** ","**A **B***C***D*",15,15,14,10,6,2,1,5,4,8,9,10,6,5,1,2
3,4,2,14,"**CAB*********D ","**A **B***C***D*",15,15,11,10,6,2,1,5,4,8,9,10,6,5,1,2
3,4,5,6,"***ABCD******** ","**A **B***C***D*",15,15,14,10,6,5,4,8,12,13,14,10,6,5,1,2
3,4,6,11,"***AB*C****D*** ","A ***B****C****D",15,15,11,10,6,2,3,7,6,5,1,2,6,5,4,0
3,4,7,11,"***AB**C***D*** ","***A** B***C***D",15,15,11,10,9,5,4,8,9,10,6,5,9,10,11,7
3,4,7,14,"***AB**C******D ","***A** B***C***D",15,15,14,13,9,5,4,8,9,10,6,5,9,10,11,7
3,4,10,11,"***AB*****CD*** ","A ***B****C****D",15,15,11,7,6,2,3,7,6,5,1,2,6,5,4,0
3,5,1,6,"*C*A*BD******** ","**A **B***C***D*",15,15,14,10,6,5,1,2,6,5,9,13,14,10,6,2
3,5,6,2,"**DA*BC******** ","**A***B***C **D*",15,15,14,10,6,2,3,7,11,10,6,5,9,13,14,10
3,5,7,9,"***A*B*C*D***** ","**A **B***C***D*",15,15,14,10,9,13,14,10,6,7,11,10,6,5,1,2
3,5,10,2,"**DA*B****C**** ","**A***B***C **D*",15,15,11,7,6,2,3,7,11,10,6,5,9,13,14,10
3,5,11,7,"***A*B*D***C*** ","**A **B***C***D*",15,15,14,10,11,7,6,10,11,15,14,10,6,5,1,2
3,5,13,2,"**DA*B*******C* ","**A***B** C***D*",15,15,14,10,6,2,3,7,11,10,6,5,9,13,14,10
3,5,13,11,"***A*B*****D*C* ","**A **B***C***D*",15,15,14,10,11,7,6,5,9,13,14,10,9,5,1,2
3,6,7,5,"***A*DBC******* ","***A** B***C***D",15,15,11,7,6,5,9,10,6,7,11,10,14,15,11,7
3,6,11,5,"***A*DB****C*** ","***A***B***C** D",15,15,11,7,6,10,9,5,6,10,9,13,14,10,11,15
3,7,5,6,"***A*CDB******* ","***A** B***C***D",15,15,11,7,6,5,9,10,11,7,6,10,14,15,11,7
3,7,9,2,"**DA***B*C***** ","**A***B** C***D*",15,15,11,7,6,2,3,7,11,10,6,7,11,15,14,10
3,7,11,2,"**DA***B***C*** ","**A***B***C **D*",15,15,11,7,6,2,3,7,11,10,6,7,11,15,14,10
3,8,5,10,"***A*C**B*D**** ","**A **B***C***D*",15,15,14,10,6,5,9,8,4,5,9,10,6,5,1,2
3,8,5,14,"***A*C**B*****D ","**A **B***C***D*",15,15,11,10,6,5,9,8,4,5,9,10,6,5,1,2
3,8,7,11,"***A***CB**D*** ","***A** B***C***D",15,15,11,10,9,8,12,13,14,10,9,5,6,10,11,7
