A,B,C,D,board start,board end,lvl,path
2,12,3,0,"D*AC********B** ","** *ABCD********",28,15,14,13,12,8,9,13,14,10,6,2,1,0,4,5,6,2,1,0,4,5,9,10,6,2,3,7,6
3,12,2,0,"D*CA********B** ","***A**B**C *D***",28,15,11,10,6,2,1,5,4,0,1,5,9,13,12,8,4,5,9,13,12,8,4,5,9,10,6,5,9
3,12,7,0,"D**A***C****B** ","***A* B**C**D***",28,15,14,13,9,8,12,13,9,8,4,0,1,2,6,7,11,10,9,8,4,5,6,10,9,13,12,8,9
6,12,3,0,"D**C**A*****B** ","** *ABCD********",28,15,14,10,9,5,6,2,1,0,4,8,12,13,9,8,4,5,6,2,1,5,9,10,6,2,3,7,6
7,12,5,0,"D****C*A****B** ","***A* B**C**D***",28,15,11,10,9,8,12,13,9,5,4,0,1,2,3,7,6,10,9,8,4,5,9,13,12,8,9,10,6
7,12,14,0,"D******A****B*C ","********ABCD* **",28,15,11,10,9,5,1,0,4,5,1,2,6,5,9,10,6,7,11,10,6,5,9,10,14,13,12,8,9
7,13,2,0,"D*C****A*****B* ","** *ABCD********",28,15,11,10,6,7,11,10,9,13,12,8,4,5,6,2,1,0,4,5,1,2,6,5,9,10,11,7,6
7,13,3,0,"D**C***A*****B* ","********ABCD* **",28,15,11,7,6,10,11,7,3,2,1,0,4,5,1,2,6,5,9,10,6,7,11,10,6,5,4,8,9
7,14,2,0,"D*C****A******B ","***A**B* C**D***",28,15,11,10,6,2,3,7,11,10,6,5,4,0,1,5,9,10,14,13,9,8,4,5,6,10,9,13,12
7,14,3,0,"D**C***A******B ","***A***B** C***D",28,15,11,7,3,2,1,0,4,5,1,2,6,5,9,10,6,7,11,10,14,15,11,10,6,2,3,7,11
8,3,12,0,"D**B****A***C** ","*A***B** C***D**",28,15,11,7,3,2,6,7,11,10,9,8,4,0,1,5,9,8,4,0,1,5,6,10,9,8,12,13,9
9,3,12,0,"D**B*****A**C** ","*A***B** C***D**",28,15,11,7,3,2,6,7,3,2,1,5,9,8,4,0,1,5,9,8,4,5,6,10,9,8,12,13,9
11,1,14,0,"DB*********A**C ","******* ABCD****",28,15,14,10,11,15,14,13,9,10,6,5,1,0,4,8,9,5,1,2,6,5,1,2,3,7,6,10,11
11,3,2,0,"D*CB*******A*** ","***A**B *C**D***",28,15,14,10,6,2,3,7,11,10,6,5,4,0,1,5,9,8,4,5,9,13,12,8,9,10,6,2,3
11,3,6,0,"D**B**C****A*** ","ABCD*** ********",28,15,14,10,11,7,6,10,9,5,1,0,4,5,6,2,1,5,6,2,3,7,6,5,4,0,1,2,3
11,4,14,0,"D***B******A**C ","*A***B***C **D**",28,15,14,10,11,15,14,13,9,10,11,7,6,5,9,8,4,0,1,5,9,8,4,5,9,8,12,13,9
11,7,1,0,"DC*****B***A*** ","***A* B**C**D***",28,15,14,10,6,7,11,10,9,5,1,0,4,5,1,2,3,7,11,10,9,5,4,8,9,13,12,8,9
11,7,2,0,"D*C****B***A*** ","**A***B **C***D*",28,15,14,10,6,2,1,0,4,5,1,2,6,5,9,10,6,2,3,7,11,15,14,10,6,7,3,2,6
11,8,3,0,"D**C****B**A*** ","***** **ABCD****",28,15,14,10,11,7,3,2,1,0,4,8,9,5,1,2,6,5,9,10,6,7,11,10,6,5,4,8,9
11,8,14,0,"D*******B**A**C ","****ABCD** *****",28,15,14,10,11,15,14,13,9,8,4,0,1,5,4,8,9,10,6,5,9,8,4,5,9,10,11,7,6
11,9,3,0,"D**C*****B*A*** ","** *ABCD********",28,15,14,10,11,7,6,5,1,0,4,5,6,2,1,5,9,10,6,5,9,8,4,5,6,2,3,7,6
11,10,1,0,"DC********BA*** ","** D**C**B**A***",28,15,14,10,11,7,3,2,1,0,4,5,6,2,1,5,9,10,14,13,9,8,12,13,9,10,11,7,3
