A,B,C,D,board start,board end,lvl,path
11,0,9,10,"B********CDA*** ","**A** B***C***D*",16,15,14,10,11,7,6,10,9,5,1,0,4,5,1,2,6
11,1,2,12,"*BC********AD** ","***A**B *C**D***",16,15,14,10,6,2,1,5,6,7,11,10,9,5,6,2,3
11,1,5,9,"*B***C***D*A*** ","*A **B***C***D**",16,15,14,13,9,5,6,7,11,10,6,7,3,2,6,5,1
11,1,5,10,"*B***C****DA*** ","**A** B***C***D*",16,15,14,10,9,5,6,10,11,7,6,10,9,5,1,2,6
11,1,5,13,"*B***C*****A*D* ","**A** B***C***D*",16,15,14,13,9,5,6,10,11,7,6,10,9,5,1,2,6
11,1,6,10,"*B****C***DA*** ","**A** B***C***D*",16,15,14,10,11,7,6,10,9,5,1,2,6,7,11,10,6
11,1,6,12,"*B****C****AD** ","***A* B**C**D***",16,15,14,13,9,5,6,7,11,10,9,5,1,2,3,7,6
11,1,6,13,"*B****C****A*D* ","**A** B***C***D*",16,15,14,13,9,5,1,2,3,7,11,10,6,7,3,2,6
11,1,7,12,"*B*****C***AD** ","***A**B**C *D***",16,15,14,10,6,7,11,10,6,5,1,2,3,7,6,5,9
11,1,7,13,"*B*****C***A*D* ","**A** B***C***D*",16,15,14,13,9,5,1,2,6,7,11,10,6,7,3,2,6
11,1,8,12,"*B******C**AD** ","***A* B**C**D***",16,15,14,10,6,7,11,10,9,8,4,5,1,2,3,7,6
11,1,9,7,"*B*****D*C*A*** ","**A** B***C***D*",16,15,14,10,11,7,6,10,11,15,14,10,9,5,1,2,6
11,1,9,14,"*B*******C*A**D ","**A** B***C***D*",16,15,14,10,11,7,6,10,14,15,11,10,9,5,1,2,6
11,1,10,9,"*B*******DCA*** ","*A **B***C***D**",16,15,14,13,9,10,11,7,6,10,11,7,3,2,6,5,1
11,1,10,12,"*B********CAD** ","***A* B**C**D***",16,15,14,13,9,10,6,7,11,10,6,5,1,2,3,7,6
11,1,10,14,"*B********CA**D ","**A***B***C***D ",16,15,14,10,11,7,6,10,9,5,1,2,6,5,9,10,14
11,1,13,9,"*B*******D*A*C* ","**A** B***C***D*",16,15,14,13,9,10,11,7,6,10,14,13,9,5,1,2,6
11,1,13,12,"*B*********ADC* ","***A**B**C**D **",16,15,14,10,6,7,11,10,9,5,1,2,3,7,6,5,9
11,2,1,6,"*CB***D****A*** ","** *ABCD********",16,15,14,10,11,7,6,10,9,5,6,2,1,0,4,5,6
11,2,1,13,"*CB********A*D* ","*A **B***C***D**",16,15,14,10,11,7,6,10,9,5,1,2,6,10,9,5,1
11,2,3,10,"**BC******DA*** ","**A***B **C***D*",16,15,14,10,6,7,3,2,6,7,11,10,6,7,3,2,6
11,2,3,14,"**BC*******A**D ","** A***B***C***D",16,15,14,10,11,7,6,10,11,7,3,2,6,10,11,7,3
11,2,4,12,"**B*C******AD** ","***A**B *C**D***",16,15,14,13,9,5,4,8,9,5,6,7,11,10,6,2,3
11,2,6,8,"**B***C*D**A*** ","***A**B *C**D***",16,15,14,13,12,8,9,5,6,7,11,10,9,5,6,2,3
11,2,7,13,"**B****C***A*D* ","**A***B **C***D*",16,15,14,13,9,10,11,7,3,2,6,10,11,7,3,2,6
11,2,7,14,"**B****C***A**D ","** A***B***C***D",16,15,14,10,11,7,3,2,6,10,9,5,1,2,6,7,3
11,2,8,9,"**B*****CD*A*** ","***A**B *C**D***",16,15,14,13,9,8,12,13,14,10,6,7,11,10,6,2,3
11,2,9,6,"**B***D**C*A*** ","****ABCD** *****",16,15,14,10,11,7,6,10,9,5,6,2,1,0,4,5,6
11,2,9,13,"**B******C*A*D* ","***A**B *C**D***",16,15,14,10,9,8,12,13,9,10,6,7,11,10,6,2,3
11,2,10,9,"**B******DCA*** ","***A**B *C**D***",16,15,14,13,9,8,12,13,9,10,6,7,11,10,6,2,3
11,2,10,13,"**B*******CA*D* ","**A***B***C** D*",16,15,14,10,6,2,3,7,11,10,6,7,3,2,6,10,14
11,2,12,8,"**B*****D**AC** ","***A**B *C**D***",16,15,14,13,12,8,9,13,14,10,6,7,11,10,6,2,3
11,2,13,8,"**B*****D**A*C* ","***A**B *C**D***",16,15,14,10,9,13,12,8,4,5,6,7,11,10,6,2,3
11,3,1,12,"*C*B*******AD** ","***A**B *C**D***",16,15,14,13,9,5,1,2,3,7,11,10,9,5,6,2,3
11,3,2,12,"**CB*******AD** ","***A**B *C**D***",16,15,14,10,6,2,3,7,11,10,6,5,9,10,6,2,3
11,3,5,8,"***B*C**D**A*** ","** A**B**C**D***",16,15,14,13,12,8,9,5,6,7,11,10,6,2,3,7,6
11,3,5,10,"***B*C****DA*** ","**A***B **C***D*",16,15,14,10,11,7,6,10,11,7,3,2,6,5,9,10,6
11,3,5,13,"***B*C*****A*D* ","**A***B **C***D*",16,15,14,13,9,5,6,7,11,10,9,5,6,7,3,2,6
11,3,6,12,"***B**C****AD** ","** A**B**C**D***",16,15,14,13,9,5,6,7,11,10,9,5,6,2,3,7,6
11,3,6,13,"***B**C****A*D* ","**A***B **C***D*",16,15,14,10,6,7,11,15,14,13,9,5,6,7,3,2,6
11,3,7,9,"***B***C*D*A*** ","**A***B **C***D*",16,15,14,10,11,7,6,10,9,13,14,10,11,7,3,2,6
11,3,7,12,"***B***C***AD** ","** A**B**C**D***",16,15,14,10,6,7,11,10,6,5,9,10,6,2,3,7,6
11,3,8,12,"***B****C**AD** ","** A**B**C**D***",16,15,14,13,9,8,4,5,6,7,11,10,6,2,3,7,6
11,3,9,6,"***B**D**C*A*** ","**A***B **C***D*",16,15,14,10,6,7,11,15,14,10,9,5,6,7,3,2,6
11,3,9,8,"***B****DC*A*** ","** A**B**C**D***",16,15,14,13,12,8,4,5,6,7,11,10,6,2,3,7,6
11,3,10,8,"***B****D*CA*** ","** A**B**C**D***",16,15,14,13,12,8,9,10,6,7,11,10,6,2,3,7,6
11,3,10,13,"***B******CA*D* ","**A***B **C***D*",16,15,14,13,9,10,11,7,3,2,6,10,9,5,1,2,6
11,3,13,12,"***B*******ADC* ","** A**B**C**D***",16,15,14,10,9,13,14,10,6,7,11,10,6,2,3,7,6
11,3,13,14,"***B*******A*CD ","**A***B **C***D*",16,15,14,13,9,10,11,7,6,10,14,15,11,7,3,2,6
11,3,14,7,"***B***D***A**C ","**A***B **C***D*",16,15,14,10,11,7,6,10,11,15,14,10,11,7,3,2,6
11,3,14,13,"***B*******A*DC ","**A***B **C***D*",16,15,14,10,11,15,14,13,9,5,6,10,11,7,3,2,6
11,4,1,3,"*C*DB******A*** ","ABCD* **********",16,15,14,10,11,7,6,10,9,5,6,2,1,5,4,0,1
11,4,2,7,"**C*B**D***A*** ","***** **ABCD****",16,15,14,10,11,7,6,2,1,5,9,10,6,5,4,8,9
11,4,5,6,"****BCD****A*** ","****ABCD *******",16,15,14,10,11,7,6,5,9,10,14,13,12,8,9,5,4
11,4,5,12,"****BC*****AD** ","***A* B**C**D***",16,15,14,10,6,7,11,10,9,5,4,0,1,2,3,7,6
11,4,6,7,"****B*CD***A*** ","****ABCD *******",16,15,14,10,11,15,14,13,9,10,14,13,12,8,9,5,4
11,4,7,6,"****B*DC***A*** ","***** **ABCD****",16,15,14,10,11,7,6,5,9,10,11,7,6,5,4,8,9
11,4,9,12,"****B****C*AD** ","***A* B**C**D***",16,15,14,10,6,7,11,10,6,5,4,0,1,2,3,7,6
11,4,9,13,"****B****C*A*D* ","*A **B***C***D**",16,15,14,10,11,7,6,10,11,7,3,2,6,5,4,0,1
11,4,10,7,"****B**D**CA*** ","***** **ABCD****",16,15,14,10,11,7,6,5,4,8,9,10,14,13,12,8,9
11,4,10,13,"****B*****CA*D* ","**A** B***C***D*",16,15,14,13,9,10,11,7,6,10,9,5,4,0,1,2,6
11,4,14,7,"****B**D***A**C ","***** **ABCD****",16,15,14,10,11,15,14,13,9,10,11,7,6,5,4,8,9
