A,B,C,D,board start,board end,lvl,path
7,12,1,0,"DC*****A****B** ","*A** B***C***D**",29,15,11,10,6,7,3,2,6,5,1,0,4,5,1,2,6,10,9,8,12,13,9,5,4,8,12,13,9,5
7,12,2,0,"D*C****A****B** ","****ABCD* ******",29,15,11,10,6,2,1,0,4,8,12,13,9,10,6,7,3,2,1,5,6,2,3,7,6,10,9,8,4,5
11,2,14,0,"D*B********A**C ","***A***B***C** D",29,15,14,10,6,2,1,0,4,5,1,2,3,7,11,10,9,5,1,2,3,7,6,10,9,13,14,10,11,15
11,12,1,0,"DC*********AB** ","****ABCD* ******",29,15,14,10,11,7,3,2,1,0,4,8,12,13,9,10,6,2,1,5,6,2,3,7,6,5,9,8,4,5
11,12,3,0,"D**C*******AB** ","****** *ABCD****",29,15,14,10,11,7,3,2,1,0,4,5,1,2,6,5,9,10,6,7,11,10,14,13,12,8,9,13,14,10
11,12,4,0,"D***C******AB** ","*A** B***C***D**",29,15,14,10,11,7,6,10,9,8,4,0,1,5,4,8,12,13,9,5,4,8,12,13,9,5,6,2,1,5
11,12,5,0,"D****C*****AB** ","****ABCD* ******",29,15,14,10,9,5,4,0,1,5,4,8,12,13,14,10,11,7,6,5,9,10,11,7,6,5,9,8,4,5
11,12,9,0,"D********C*AB** ","****ABCD* ******",29,15,14,10,6,5,4,0,1,5,4,8,12,13,14,10,11,7,6,5,9,10,11,7,6,5,9,8,4,5
11,12,14,0,"D**********AB*C ","********ABCD** *",29,15,14,13,12,8,4,0,1,5,4,8,9,10,11,7,6,5,9,10,6,5,4,8,9,13,14,15,11,10
11,14,0,1,"CD*********A**B ","****ABCD* ******",29,15,14,10,11,15,14,13,9,10,11,7,3,2,1,5,9,10,6,2,1,0,4,5,1,2,3,7,6,5
11,14,3,0,"D**C*******A**B ","****** *ABCD****",29,15,14,10,11,15,14,13,9,10,11,7,3,2,1,0,4,5,1,2,6,5,4,8,9,10,6,7,11,10
11,14,5,0,"D****C*****A**B ","****** *ABCD****",29,15,14,10,11,15,14,13,9,10,6,5,4,0,1,5,4,8,9,10,11,7,6,5,9,10,6,7,11,10
11,14,6,0,"D*****C****A**B ","****** *ABCD****",29,15,14,10,11,15,14,13,9,10,11,7,6,2,1,0,4,5,1,2,6,5,4,8,9,10,6,7,11,10
11,14,9,0,"D********C*A**B ","**A***B** C***D*",29,15,14,10,11,15,14,13,9,5,4,0,1,5,4,8,9,5,6,10,11,7,3,2,6,10,9,13,14,10
11,14,12,0,"D**********AC*B ","**A***B** C***D*",29,15,14,10,11,15,14,13,12,8,4,0,1,5,4,8,9,5,6,10,11,7,3,2,6,10,9,13,14,10
11,14,12,1,"*D*********AC*B ","**A***B** C***D*",29,15,14,10,11,7,6,10,14,15,11,10,9,5,1,2,6,10,14,13,12,8,9,5,6,10,9,13,14,10
13,3,4,0,"D**BC********A* ","* **ABCD********",29,15,11,10,9,13,12,8,9,5,4,0,1,5,4,8,9,10,6,2,3,7,6,5,1,2,3,7,6,5
