A,B,C,D,board start,board end,lvl,path
11,0,2,4,"B*C*D******A*** ","* **ABCD********",23,15,14,10,11,7,6,5,4,8,9,10,6,5,9,10,11,7,6,2,1,0,4,5
11,0,2,8,"B*C*****D**A*** ","*A** B***C***D**",23,15,14,10,11,7,6,10,9,8,4,0,1,5,6,2,1,5,6,10,14,13,9,5
11,0,3,1,"BD*C*******A*** ","* **ABCD********",23,15,14,10,11,7,6,2,1,5,6,10,9,5,6,2,3,7,6,2,1,0,4,5
11,0,3,9,"B**C*****D*A*** ","* **ABCD********",23,15,14,10,11,7,6,10,9,5,6,2,3,7,6,10,11,7,6,2,1,0,4,5
11,0,3,14,"B**C*******A**D ","A*** B****C****D",23,15,14,10,11,7,3,2,6,10,9,5,6,7,11,10,6,2,1,5,4,0,1,5
11,0,5,1,"BD***C*****A*** ","ABCD ***********",23,15,14,10,11,15,14,13,9,10,6,2,1,5,9,8,4,5,6,7,3,2,1,0
11,0,6,1,"BD****C****A*** ","* **ABCD********",23,15,14,13,9,5,1,2,6,5,9,10,11,7,6,10,9,5,6,2,1,0,4,5
11,0,7,5,"B****D*C***A*** ","* **ABCD********",23,15,14,10,6,7,3,2,6,5,9,10,11,7,6,10,9,5,6,2,1,0,4,5
11,0,8,1,"BD******C**A*** ","*A** B***C***D**",23,15,14,10,11,7,6,5,1,2,6,10,9,5,6,10,14,13,9,8,4,0,1,5
11,0,8,2,"B*D*****C**A*** ","* **ABCD********",23,15,14,10,11,7,6,10,9,8,4,5,6,2,1,0,4,5,9,10,11,7,6,5
11,0,8,3,"B**D****C**A*** ","* **ABCD********",23,15,14,10,11,7,6,10,9,8,4,5,6,7,3,2,1,0,4,5,9,10,6,5
11,0,8,4,"B***D***C**A*** ","*A** B***C***D**",23,15,14,10,11,15,14,13,9,10,6,5,9,8,4,0,1,5,9,8,12,13,9,5
11,0,9,1,"BD*******C*A*** ","* **ABCD********",23,15,14,10,11,7,6,10,9,5,6,2,1,0,4,5,6,2,3,7,6,10,9,5
11,0,12,4,"B***D******AC** ","*A** B***C***D**",23,15,14,10,11,7,6,10,9,8,4,5,6,10,9,8,12,13,9,8,4,0,1,5
