A,B,C,D,board start,board end,lvl,path
1,3,12,0,"DA*B********C** ","*A***B **C***D**",25,15,11,7,3,2,1,0,4,5,1,2,6,7,11,10,9,5,4,8,12,13,9,8,4,5
1,7,12,0,"DA*****B****C** ","A***B***C **D***",25,15,11,10,6,7,11,10,9,5,4,0,1,5,6,10,9,13,12,8,4,5,9,13,12,8
1,11,12,0,"DA*********BC** ","A***B***C **D***",25,15,14,10,11,15,14,13,9,10,6,5,4,0,1,5,9,13,12,8,4,5,9,13,12,8
1,12,2,0,"DAC*********B** ","*A** B***C***D**",25,15,11,7,6,5,4,0,1,2,6,5,4,8,12,13,9,5,1,0,4,8,12,13,9,5
2,3,1,0,"DCAB*********** ","*** ABCD********",25,15,14,10,6,2,1,0,4,5,6,7,3,2,1,0,4,5,6,7,3,2,1,5,6,7
2,8,3,0,"D*AC****B****** ","ABCD** *********",25,15,11,10,6,2,1,0,4,8,9,5,6,7,3,2,1,5,4,0,1,5,6,7,3,2
3,12,0,6,"C**A**D*****B** ","**A **B***C***D*",25,15,14,13,12,8,4,0,1,5,4,8,9,13,14,10,6,5,9,13,14,10,6,5,1,2
3,12,1,7,"*C*A***D****B** ","****ABCD* ******",25,15,11,7,6,2,3,7,6,2,1,5,6,2,3,7,11,10,9,8,12,13,9,8,4,5
3,12,8,2,"**DA****C***B** ","**A***B** C***D*",25,15,11,10,6,2,3,7,11,10,9,8,12,13,9,8,4,5,9,10,6,5,9,13,14,10
3,12,11,1,"*D*A*******CB** ","**A***B***C **D*",25,15,14,13,12,8,9,13,14,10,6,5,1,2,3,7,6,10,9,5,6,10,9,13,14,10
3,13,0,2,"C*DA*********B* ","**A***B** C***D*",25,15,14,10,6,2,3,7,11,10,6,5,4,0,1,5,4,8,9,13,14,10,9,5,6,10
3,13,0,7,"C**A***D*****B* ","****ABCD* ******",25,15,11,7,3,2,6,7,11,10,9,13,12,8,4,5,6,2,1,0,4,5,1,2,6,5
3,14,0,2,"C*DA**********B ","****ABCD* ******",25,15,11,10,14,13,9,10,6,2,3,7,6,2,1,5,6,2,1,0,4,5,1,2,6,5
3,14,7,0,"D**A***C******B ","**A***B***C **D*",25,15,11,7,6,2,1,0,4,5,1,2,3,7,6,10,14,13,9,5,6,10,9,13,14,10
4,3,8,0,"D**BA***C****** ","* **ABCD********",25,15,11,7,6,2,1,0,4,8,9,5,1,2,3,7,6,5,4,0,1,2,3,7,6,5
4,12,3,0,"D**CA*******B** ","****ABCD* ******",25,15,14,13,12,8,4,0,1,5,4,8,9,13,14,10,6,5,1,2,3,7,6,2,1,5
4,13,3,0,"D**CA********B* ","ABCD** *********",25,15,11,10,9,13,14,10,6,2,1,0,4,5,9,10,6,7,3,2,1,5,6,7,3,2
4,14,3,0,"D**CA*********B ","ABCD** *********",25,15,11,10,14,15,11,7,6,10,9,5,1,0,4,5,6,7,3,2,1,5,6,7,3,2
6,11,1,0,"DC****A****B*** ","*A***B **C***D**",25,15,14,10,11,7,3,2,6,5,1,0,4,5,1,2,6,10,9,5,4,8,12,13,9,5
6,11,4,0,"D***C*A****B*** ","*A***B **C***D**",25,15,14,10,11,7,3,2,6,5,4,0,1,5,4,8,9,5,1,2,6,10,14,13,9,5
6,11,14,0,"D*****A****B**C ","**A***B***C **D*",25,15,14,10,11,15,14,13,12,8,4,0,1,2,6,5,4,8,9,5,6,10,9,13,14,10
6,12,0,1,"CD****A*****B** ","****ABCD* ******",25,15,14,10,6,5,1,0,4,8,12,13,9,10,6,5,9,8,4,5,1,2,3,7,6,5
