A,B,C,D,board start,board end,lvl,path
0,1,2,5,"ABC**D********* ","ABCD* **********",12,15,14,10,6,5,1,2,6,7,3,2,1
0,1,2,6,"ABC***D******** ","ABCD* **********",12,15,14,13,9,5,1,2,6,7,3,2,1
0,1,2,7,"ABC****D******* ","ABCD* **********",12,15,14,13,9,5,1,2,3,7,6,2,1
0,1,2,10,"ABC*******D**** ","ABCD*** ********",12,15,11,7,3,2,6,10,11,7,6,2,3
0,1,3,5,"AB*C*D********* ","ABCD*** ********",12,15,14,10,6,5,9,10,11,7,6,2,3
0,1,3,9,"AB*C*****D***** ","ABCD*** ********",12,15,14,10,9,5,6,10,11,7,6,2,3
0,1,4,5,"AB**CD********* "," A***B***C***D**",12,15,14,13,9,5,4,8,12,13,9,5,1
0,1,4,12,"AB**C*******D** "," A***B***C***D**",12,15,14,13,12,8,9,5,4,8,9,5,1
0,1,6,5,"AB***DC******** "," A***B***C***D**",12,15,14,13,9,5,6,10,14,13,9,5,1
0,1,6,7,"AB****CD******* "," ***ABCD********",12,15,14,10,6,5,1,2,6,10,9,8,4
0,1,6,12,"AB****C*****D** "," A***B***C***D**",12,15,14,13,12,8,9,5,6,10,9,5,1
0,1,8,10,"AB******C*D**** "," A***B***C***D**",12,15,14,13,9,10,14,13,9,8,4,5,1
0,1,9,5,"AB***D***C***** ","*A***B***C **D**",12,15,14,10,9,5,1,0,4,8,12,13,9
0,1,9,6,"AB****D**C***** "," A***B***C***D**",12,15,14,10,6,5,9,10,14,13,9,5,1
0,1,9,8,"AB******DC***** "," A***B***C***D**",12,15,14,10,9,8,12,13,9,10,6,5,1
0,1,10,5,"AB***D****C**** ","*A***B***C **D**",12,15,14,13,9,5,1,0,4,8,12,13,9
0,1,10,8,"AB******D*C**** "," A***B***C***D**",12,15,14,13,9,8,12,13,9,10,6,5,1
0,1,11,9,"AB*******D*C*** "," A***B***C***D**",12,15,14,10,11,15,14,13,9,10,6,5,1
0,1,12,5,"AB***D******C** ","*A***B** C***D**",12,15,14,13,9,5,1,0,4,8,12,13,9
0,1,12,8,"AB******D***C** "," A***B***C***D**",12,15,14,13,12,8,9,13,12,8,4,5,1
0,1,12,9,"AB*******D**C** ","*A***B** C***D**",12,15,14,10,6,5,1,0,4,8,12,13,9
0,1,12,13,"AB**********CD* "," A***B***C***D**",12,15,14,13,12,8,9,13,14,10,6,5,1
