A,B,C,D,board start,board end,lvl,path
1,12,3,0,"DA*C********B** ","** *ABCD********",26,15,11,10,9,8,12,13,9,5,4,0,1,5,4,8,9,10,6,5,4,0,1,2,3,7,6
2,8,12,3,"**AD****B***C** ","ABCD* **********",26,15,14,10,9,8,4,5,9,8,12,13,9,8,4,5,9,10,6,5,1,2,6,5,4,0,1
2,11,3,0,"D*AC*******B*** ","** *ABCD********",26,15,14,10,11,7,6,10,9,5,1,2,6,5,1,0,4,5,1,2,6,5,1,2,3,7,6
2,12,3,4,"**ACD*******B** ","***A**B**C *D***",26,15,11,7,3,2,6,7,11,15,14,13,12,8,4,5,9,13,12,8,4,5,9,10,6,5,9
2,12,7,0,"D*A****C****B** ","**A** B***C***D*",26,15,14,13,12,8,4,0,1,5,4,8,9,13,14,10,6,5,9,10,6,7,11,15,14,10,6
2,13,3,0,"D*AC*********B* ","** *ABCD********",26,15,11,10,9,13,14,10,6,2,1,0,4,5,6,2,1,0,4,5,9,10,6,2,3,7,6
2,14,3,0,"D*AC**********B ","** *ABCD********",26,15,11,10,14,13,9,5,1,0,4,5,6,2,1,5,6,10,9,8,4,5,6,2,3,7,6
3,0,12,7,"B**A***D****C** ","***A**B* C**D***",26,15,14,13,9,5,1,0,4,5,1,2,6,7,11,10,6,5,9,10,14,13,12,8,9,13,12
3,12,0,1,"CD*A********B** ","***A**B**C *D***",26,15,11,7,6,5,1,0,4,8,9,5,1,0,4,8,9,13,12,8,9,13,14,10,9,5,6
3,12,0,2,"C*DA********B** ","***D**C* B**A***",26,15,11,7,3,2,1,0,4,5,1,2,6,7,11,10,6,5,9,10,14,13,12,8,9,13,12
3,12,0,11,"C**A*******DB** ","********ABCD* **",26,15,14,13,12,8,4,0,1,2,3,7,6,2,1,5,4,8,9,5,6,10,9,5,4,8,9
3,12,1,0,"DC*A********B** ","***A**B* C**D***",26,15,14,13,12,8,4,0,1,5,9,8,4,0,1,5,9,13,12,8,4,5,9,10,6,5,9
