A,B,C,D,board start,board end,lvl,path
6,0,2,4,"B*C*D*A******** ","*A** B***C***D**",21,15,14,13,12,8,4,0,1,5,6,2,1,5,6,10,9,8,12,13,9,5
6,0,7,4,"B***D*AC******* ","ABCD** *********",21,15,14,13,9,5,4,0,1,5,6,2,1,5,4,0,1,5,6,7,3,2
6,0,7,8,"B*****ACD****** ","****** *ABCD****",21,15,14,13,9,8,4,0,1,5,6,10,9,5,4,8,9,5,6,7,11,10
6,0,10,4,"B***D*A***C**** ","A **B***C***D***",21,15,14,13,12,8,4,5,9,10,14,13,12,8,9,5,6,2,1,5,4,0
6,0,11,4,"B***D*A****C*** ","**A***B***C **D*",21,15,14,13,9,5,4,0,1,2,6,5,4,8,9,10,6,5,9,13,14,10
6,0,11,8,"B*****A*D**C*** ","*A** B***C***D**",21,15,14,13,9,8,4,0,1,5,6,10,11,15,14,13,9,10,6,2,1,5
6,0,12,3,"B**D**A*****C** ","* **ABCD********",21,15,14,13,12,8,9,13,14,10,9,5,6,10,11,7,3,2,1,0,4,5
6,1,2,4,"*BC*D*A******** ","* **ABCD********",21,15,14,13,9,5,4,0,1,5,6,2,1,0,4,5,6,2,3,7,6,5
6,1,4,0,"DB**C*A******** ","ABCD ***********",21,15,14,13,9,5,1,0,4,5,6,2,1,0,4,5,6,7,3,2,1,0
6,1,5,0,"DB***CA******** ","* **ABCD********",21,15,14,13,9,5,6,2,1,0,4,5,1,2,6,5,9,10,11,7,6,5
6,1,7,0,"DB****AC******* ","ABCD** *********",21,15,14,13,9,5,1,0,4,5,6,2,1,5,4,0,1,5,6,7,3,2
6,1,12,2,"*BD***A*****C** ","* **ABCD********",21,15,14,13,12,8,9,13,14,10,9,5,6,2,3,7,6,10,9,8,4,5
6,1,12,3,"*B*D**A*****C** ","* **ABCD********",21,15,14,13,12,8,9,13,14,10,9,5,6,7,3,2,6,10,9,8,4,5
6,2,1,0,"DCB***A******** ","* **ABCD********",21,15,14,13,9,5,6,2,1,0,4,5,6,2,1,5,6,2,3,7,6,5
6,2,7,4,"**B*D*AC******* ","ABCD** *********",21,15,14,13,9,5,6,2,1,5,4,0,1,5,6,2,1,5,6,7,3,2
6,2,12,3,"**BD**A*****C** ","*** ABCD********",21,15,14,13,12,8,9,13,14,10,9,5,6,2,1,0,4,5,6,10,11,7
6,3,0,9,"C**B**A**D***** ","*A***B **C***D**",21,15,14,13,9,8,4,0,1,5,6,2,3,7,6,2,1,5,4,8,9,5
6,3,1,4,"*C*BD*A******** ","*A***B **C***D**",21,15,11,7,3,2,6,5,4,8,9,5,1,2,6,7,11,15,14,13,9,5
6,3,2,4,"**CBD*A******** ","**A **B***C***D*",21,15,11,7,6,5,4,8,9,5,6,2,3,7,11,10,9,13,14,10,6,2
6,3,5,4,"***BDCA******** ","**A **B***C***D*",21,15,11,7,6,5,4,8,9,5,1,2,3,7,11,10,9,13,14,10,6,2
6,3,10,0,"D**B**A***C**** ","**A***B** C***D*",21,15,11,7,3,2,1,0,4,5,1,2,6,5,9,10,6,7,11,15,14,10
6,3,11,0,"D**B**A****C*** ","**A***B***C **D*",21,15,11,7,3,2,1,0,4,5,1,2,6,5,9,10,6,7,11,15,14,10
6,3,12,5,"***B*DA*****C** ","*A***B **C***D**",21,15,14,13,9,5,6,2,3,7,6,2,1,5,4,8,12,13,9,8,4,5
6,3,13,1,"*D*B**A******C* ","**A***B** C***D*",21,15,11,7,3,2,6,5,1,0,4,8,9,5,6,7,11,10,9,13,14,10
6,4,1,0,"DC**B*A******** ","* **ABCD********",21,15,11,7,3,2,1,0,4,5,6,2,1,0,4,5,6,2,3,7,6,5
6,4,2,0,"D*C*B*A******** ","ABCD ***********",21,15,14,13,9,5,6,2,1,0,4,5,6,2,1,5,6,7,3,2,1,0
6,4,3,8,"***CB*A*D****** ","*A** B***C***D**",21,15,14,13,9,8,12,13,9,5,6,2,3,7,6,2,1,5,6,10,9,5
6,4,7,0,"D***B*AC******* ","ABCD** *********",21,15,14,13,9,5,6,2,1,0,4,5,6,2,1,0,4,5,6,7,3,2
6,5,1,0,"DC***BA******** ","****ABCD* ******",21,15,14,13,9,5,6,2,1,0,4,5,6,2,1,5,6,2,3,7,6,5
