A,B,C,D,board start,board end,lvl,path
1,5,8,9,"*A***B**CD***** ","*A***B** C***D**",4,15,14,13,9
1,5,8,13,"*A***B**C****D* ","*A***B** C***D**",4,15,14,10,9
1,5,10,9,"*A***B***DC**** ","*A***B***C **D**",4,15,14,13,9
2,3,7,11,"**AB***C***D*** ","** A***B***C***D",4,15,11,7,3
2,5,6,10,"**A**BC***D**** ","**A** B***C***D*",4,15,14,10,6
2,5,6,14,"**A**BC*******D ","**A** B***C***D*",4,15,11,10,6
2,5,10,14,"**A**B****C***D ","**A** B***C***D*",4,15,11,7,6
2,6,9,12,"**A***B**C**D** ","** A**B**C**D***",4,15,11,7,3
2,6,14,11,"**A***B****D**C ","**A***B***C***D ",4,15,11,10,14
2,6,14,13,"**A***B******DC ","**A***B***C** D*",4,15,11,10,14
2,7,6,10,"**A***CB**D**** ","**A***B **C***D*",4,15,14,10,6
2,7,6,14,"**A***CB******D ","**A***B **C***D*",4,15,11,10,6
3,2,9,12,"**BA*****C**D** ","** A**B**C**D***",4,15,14,10,6
3,5,9,12,"***A*B***C**D** ","***A* B**C**D***",4,15,14,10,6
3,6,5,12,"***A*CB*****D** ","***A* B**C**D***",4,15,14,13,9
3,6,8,12,"***A**B*C***D** ","***A**B* C**D***",4,15,14,13,9
3,6,9,8,"***A**B*DC***** ","***A**B* C**D***",4,15,14,13,12
3,6,10,12,"***A**B***C*D** ","***A**B**C *D***",4,15,14,13,9
3,6,13,12,"***A**B*****DC* ","***A**B**C**D **",4,15,14,10,9
3,7,9,12,"***A***B*C**D** ","***A**B *C**D***",4,15,14,10,6
3,10,9,12,"***A*****CB*D** ","***A**B**C *D***",4,15,11,7,6
4,5,2,6,"**C*ABD******** ","** *ABCD********",4,15,11,7,6
4,5,2,7,"**C*AB*D******* ","** *ABCD********",4,15,14,10,6
4,5,10,6,"****ABD***C**** ","****ABCD** *****",4,15,11,7,6
8,5,9,10,"*****B**ACD**** ","***** **ABCD****",4,15,11,10,9
8,5,9,11,"*****B**AC*D*** ","***** **ABCD****",4,15,14,10,9
8,5,10,11,"*****B**A*CD*** ","***** **ABCD****",4,15,14,13,9
8,9,6,3,"***D**C*AB***** ","***D**C* B**A***",4,15,14,13,12
8,9,11,7,"*******DAB*C*** ","******* ABCD****",4,15,14,10,11
8,9,11,14,"********AB*C**D ","********ABCD*** ",4,15,14,10,11
8,12,13,14,"********A***BCD ","******** ***ABCD",4,15,14,13,12
8,13,9,10,"********ACD**B* ","********ABCD* **",4,15,11,10,9
8,13,9,11,"********AC*D*B* ","********ABCD* **",4,15,14,10,9
12,5,6,3,"***D*BC*****A** ","***D* C**B**A***",4,15,14,13,9
12,8,6,3,"***D**C*B***A** ","***D**C* B**A***",4,15,14,13,9
12,9,2,3,"**CD*****B**A** ","** D**C**B**A***",4,15,14,10,6
12,9,5,3,"***D*C***B**A** ","***D* C**B**A***",4,15,14,10,6
12,9,6,2,"**D***C**B**A** ","** D**C**B**A***",4,15,11,7,3
12,9,7,3,"***D***C*B**A** ","***D**C *B**A***",4,15,14,10,6
12,9,10,3,"***D*****BC*A** ","***D**C**B *A***",4,15,11,7,6
12,10,6,3,"***D**C***B*A** ","***D**C**B *A***",4,15,14,13,9
12,13,6,3,"***D**C*****AB* ","***D**C**B**A **",4,15,14,10,9
