A,B,C,D,board start,board end,lvl,path
0,1,5,11,"AB***C*****D*** ","A ***B****C****D",9,15,11,10,9,5,6,10,9,5
0,1,5,14,"AB***C********D ","A ***B****C****D",9,15,14,13,9,5,6,10,9,5
0,1,6,10,"AB****C***D**** ","A ***B****C****D",9,15,14,10,11,15,14,10,6,5
0,1,7,11,"AB*****C***D*** ","A ***B****C****D",9,15,11,10,6,7,11,10,6,5
0,1,7,14,"AB*****C******D ","A ***B****C****D",9,15,14,10,6,7,11,10,6,5
0,1,9,10,"AB*******CD**** ","A ***B****C****D",9,15,14,10,11,15,14,10,9,5
0,1,10,2,"ABD*******C**** ","ABCD** *********",9,15,11,7,6,10,11,7,3,2
0,1,11,10,"AB********DC*** ","A ***B****C****D",9,15,14,10,11,15,14,13,9,5
0,1,13,11,"AB*********D*C* ","A ***B****C****D",9,15,11,10,9,13,14,10,9,5
0,1,13,14,"AB***********CD ","A ***B****C****D",9,15,14,13,9,10,14,13,9,5
0,1,14,10,"AB********D***C ","A ***B****C****D",9,15,11,10,14,15,11,7,6,5
0,2,7,11,"A*B****C***D*** ","A****B****C ***D",9,15,11,7,6,2,1,5,6,10
0,2,9,11,"A*B******C*D*** ","A****B ***C****D",9,15,11,10,9,5,6,2,1,5
0,2,9,13,"A*B******C***D* ","*A***B **C***D**",9,15,14,10,6,2,1,0,4,5
0,2,9,14,"A*B******C****D ","A****B ***C****D",9,15,14,10,9,5,6,2,1,5
0,2,10,3,"A*BD******C**** ","ABCD** *********",9,15,11,7,6,10,9,5,1,2
0,2,10,14,"A*B*******C***D ","A****B ***C****D",9,15,14,13,9,5,6,2,1,5
0,2,11,14,"A*B********C**D ","A****B ***C****D",9,15,14,10,11,7,6,2,1,5
0,2,14,11,"A*B********D**C ","A****B****C*** D",9,15,11,10,6,2,1,5,6,10
0,4,5,11,"A***BC*****D*** ","A*** B****C****D",9,15,11,10,9,5,6,10,9,5
0,4,5,14,"A***BC********D ","A*** B****C****D",9,15,14,13,9,5,6,10,9,5
0,4,6,10,"A***B*C***D**** ","A*** B****C****D",9,15,14,10,11,15,14,10,6,5
0,4,7,11,"A***B**C***D*** ","A*** B****C****D",9,15,11,10,6,7,11,10,6,5
0,4,7,14,"A***B**C******D ","A*** B****C****D",9,15,14,10,6,7,11,10,6,5
0,4,9,10,"A***B****CD**** ","A*** B****C****D",9,15,14,10,11,15,14,10,9,5
0,4,10,8,"A***B***D*C**** ","A***B***C **D***",9,15,14,13,9,10,14,13,12,8
0,4,11,10,"A***B*****DC*** ","A*** B****C****D",9,15,14,10,11,15,14,13,9,5
0,4,13,11,"A***B******D*C* ","A*** B****C****D",9,15,11,10,9,13,14,10,9,5
0,4,13,14,"A***B********CD ","A*** B****C****D",9,15,14,13,9,10,14,13,9,5
0,4,14,10,"A***B*****D***C ","A*** B****C****D",9,15,11,10,14,15,11,7,6,5
0,5,2,11,"A*C**B*****D*** ","A****B ***C****D",9,15,11,10,6,2,3,7,11,10
0,5,2,14,"A*C**B********D ","A****B ***C****D",9,15,14,10,6,2,3,7,11,10
0,5,3,11,"A**C*B*****D*** ","A****B ***C****D",9,15,11,7,3,2,6,7,11,10
0,5,6,13,"A****BC******D* ","A****B ***C****D",9,15,14,13,9,10,11,15,14,10
0,5,7,10,"A****B*C**D**** ","A****B****C*** D",9,15,14,10,11,7,6,10,11,15
