A,B,C,D,board start,board end,lvl,path
3,12,7,2,"**DA***C****B** ","***D**C* B**A***",24,15,14,10,6,7,3,2,1,5,6,7,11,10,6,5,9,10,14,13,12,8,9,13,12
3,12,8,1,"*D*A****C***B** ","***A**B**C *D***",24,15,11,10,6,5,1,0,4,5,9,8,4,5,9,13,12,8,9,13,14,10,9,5,6
3,12,9,0,"D**A*****C**B** ","***A* B**C**D***",24,15,14,13,12,8,4,0,1,5,6,10,9,13,12,8,4,5,9,13,12,8,9,10,6
3,12,9,1,"*D*A*****C**B** ","*A***B***C **D**",24,15,14,10,6,2,3,7,6,5,1,2,6,10,9,5,4,8,12,13,9,8,4,5,9
3,12,10,1,"*D*A******C*B** ","***D**C**B**A **",24,15,11,7,3,2,1,5,6,7,3,2,1,5,6,10,9,5,4,8,12,13,9,8,12
3,12,13,2,"**DA********BC* ","***A**B* C**D***",24,15,14,13,12,8,9,13,14,10,9,5,6,2,1,5,6,10,9,5,4,8,9,13,12
3,12,14,0,"D**A********B*C ","***A* B**C**D***",24,15,11,10,14,13,12,8,4,0,1,5,9,13,12,8,4,5,9,13,12,8,9,10,6
3,12,14,1,"*D*A********B*C ","***A**B* C**D***",24,15,11,10,9,13,12,8,9,13,14,10,9,5,1,2,6,10,9,5,4,8,9,13,12
3,12,14,2,"**DA********B*C ","********ABCD* **",24,15,11,10,6,2,3,7,11,10,6,2,3,7,11,10,6,5,9,10,14,13,12,8,9
3,13,0,1,"CD*A*********B* ","***A**B**C *D***",24,15,14,13,9,5,1,0,4,8,9,5,1,0,4,8,9,10,14,13,12,8,9,5,6
3,13,11,0,"D**A*******C*B* ","***A* B**C**D***",24,15,14,10,11,7,6,5,4,0,1,5,9,13,12,8,4,5,9,13,12,8,9,10,6
3,14,0,1,"CD*A**********B ","***A**B**C *D***",24,15,11,7,6,5,1,0,4,8,9,5,1,0,4,8,9,10,14,13,12,8,9,5,6
3,14,1,0,"DC*A**********B ","***A* B**C**D***",24,15,11,10,14,13,9,5,1,0,4,5,1,2,6,10,9,5,4,8,9,13,12,8,9
3,14,2,0,"D*CA**********B ","***A**B**C *D***",24,15,11,10,6,2,1,5,4,0,1,5,9,8,4,5,6,10,14,13,12,8,9,5,6
3,14,11,0,"D**A*******C**B ","***A**B**C *D***",24,15,11,10,14,15,11,7,6,5,4,0,1,5,9,8,4,5,6,10,14,13,12,8,9
4,3,12,1,"*D*BA*******C** ","****ABCD** *****",24,15,14,13,12,8,9,13,14,10,9,5,1,2,6,5,1,2,3,7,6,2,1,5,6
4,3,13,0,"D**BA********C* ","*A***B***C **D**",24,15,14,13,9,5,4,0,1,2,3,7,6,2,1,5,4,8,9,5,6,10,14,13,9
4,3,14,0,"D**BA*********C ","*A***B***C **D**",24,15,11,10,6,2,3,7,6,2,1,5,4,0,1,5,4,8,9,5,6,10,14,13,9
4,7,12,0,"D***A**B****C** ","*A***B** C***D**",24,15,14,10,6,7,3,2,1,5,4,0,1,5,9,8,4,5,6,10,9,8,12,13,9
4,7,13,0,"D***A**B*****C* ","*A***B***C **D**",24,15,11,10,6,7,11,10,14,13,9,5,4,0,1,5,4,8,9,5,6,10,14,13,9
4,11,1,0,"DC**A******B*** ","ABCD* **********",24,15,14,10,11,7,6,5,1,0,4,8,9,10,6,2,1,5,9,10,11,7,3,2,1
4,11,7,0,"D***A**C***B*** ","*A***B***C **D**",24,15,14,10,11,7,6,10,9,5,4,0,1,5,4,8,9,5,6,10,11,15,14,13,9
4,11,12,0,"D***A******BC** ","*A***B** C***D**",24,15,14,10,11,7,6,10,9,5,4,0,1,5,9,8,4,5,6,10,9,8,12,13,9
4,11,13,0,"D***A******B*C* ","*A***B***C **D**",24,15,14,10,11,7,6,10,14,13,9,5,4,0,1,5,4,8,9,5,6,10,14,13,9
4,11,14,0,"D***A******B**C ","****ABCD** *****",24,15,14,10,11,15,14,13,12,8,4,0,1,5,4,8,9,10,6,5,9,10,11,7,6
4,12,1,0,"DC**A*******B** ","A***B **C***D***",24,15,14,10,9,8,12,13,9,5,4,0,1,5,9,8,4,0,1,5,9,13,12,8,4
4,12,14,0,"D***A*******B*C ","*A***B***C **D**",24,15,11,10,14,13,9,8,12,13,9,5,4,0,1,5,9,8,4,5,9,8,12,13,9
4,14,1,0,"DC**A*********B ","ABCD* **********",24,15,11,10,14,13,9,5,1,0,4,8,9,10,6,2,1,5,9,10,11,7,3,2,1
4,14,11,0,"D***A******C**B ","*A***B***C **D**",24,15,11,10,14,15,11,7,6,10,9,5,4,0,1,5,4,8,9,5,6,10,14,13,9
4,14,12,0,"D***A*******C*B ","*A***B** C***D**",24,15,11,10,6,5,4,0,1,5,4,8,12,13,9,5,6,10,14,13,9,10,6,5,9
5,3,8,0,"D**B*A**C****** ","*A***B** C***D**",24,15,11,10,9,8,4,0,1,2,3,7,6,2,1,5,4,8,9,5,6,10,14,13,9
5,3,12,1,"*D*B*A******C** ","*A **B***C***D**",24,15,11,10,6,2,3,7,6,5,1,2,6,10,9,5,4,8,12,13,9,8,4,5,1
